id,source_group,source_name,url,scope
q54121,geo_turkey,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54122,geo_turkey,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54123,geo_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54124,geo_turkey,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54125,geo_turkey,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54126,geo_turkey,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54127,geo_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54128,geo_turkey,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54129,geo_britannica,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
q54130,geo_flags,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
q54131,geo_flags,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
q54132,geo_flags,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
q54133,geo_worldfactbook,CIA World Factbook,https://www.cia.gov/the-world-factbook/,Ülke ve sınır bilgileri
q54134,geo_worldfactbook,CIA World Factbook,https://www.cia.gov/the-world-factbook/,Ülke ve sınır bilgileri
q54135,geo_noaa,NOAA,https://www.noaa.gov/,"Okyanus, atmosfer ve deniz yaşamı"
q54136,geo_britannica,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
q54137,geo_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54138,ent_turkish_cinema,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54139,ent_turkish_cinema,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54140,ent_turkish_cinema,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54141,ent_turkish_cinema,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54142,ent_turkish_cinema,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54143,ent_film_festivals,"Resmî yapım, yayıncı ve eser jeneriği / BFI",https://www.bfi.org.uk/,"Film, dizi, oyun ve müzik eser bilgisi"
q54144,ent_turkish_tv,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54145,ent_turkish_tv,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54146,ent_turkish_tv,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54147,ent_turkish_tv,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54148,ent_classic_film,"Resmî yapım, yayıncı ve eser jeneriği / BFI",https://www.bfi.org.uk/,"Film, dizi, oyun ve müzik eser bilgisi"
q54149,ent_classic_film,"Resmî yapım, yayıncı ve eser jeneriği / BFI",https://www.bfi.org.uk/,"Film, dizi, oyun ve müzik eser bilgisi"
q54150,ent_classic_film,"Resmî yapım, yayıncı ve eser jeneriği / BFI",https://www.bfi.org.uk/,"Film, dizi, oyun ve müzik eser bilgisi"
q54151,ent_classic_film,"Resmî yapım, yayıncı ve eser jeneriği / BFI",https://www.bfi.org.uk/,"Film, dizi, oyun ve müzik eser bilgisi"
q54152,ent_games,"Resmî yapım, yayıncı ve eser jeneriği / BFI",https://www.bfi.org.uk/,"Film, dizi, oyun ve müzik eser bilgisi"
q54153,ent_games,"Resmî yapım, yayıncı ve eser jeneriği / BFI",https://www.bfi.org.uk/,"Film, dizi, oyun ve müzik eser bilgisi"
q54154,ent_games,"Resmî yapım, yayıncı ve eser jeneriği / BFI",https://www.bfi.org.uk/,"Film, dizi, oyun ve müzik eser bilgisi"
q54155,hist_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54156,hist_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54157,hist_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54158,hist_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54159,hist_britannica,Encyclopaedia Britannica / ilgili resmî arşiv,https://www.britannica.com/,Tarihsel bilgi
q54160,hist_britannica,Encyclopaedia Britannica / ilgili resmî arşiv,https://www.britannica.com/,Tarihsel bilgi
q54161,hist_un,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54162,hist_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54163,hist_ottoman,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54164,hist_ottoman,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54165,hist_ottoman,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54166,hist_turkish,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54167,hist_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54168,hist_turkish_republic,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54169,hist_turkish_republic,T.C. Kültür ve Turizm Bakanlığı / ilgili resmî arşiv,https://www.ktb.gov.tr/,"Türkiye kültürü, coğrafyası, sanat ve tarih"
q54170,hist_nasa,NASA,https://science.nasa.gov/,"Uzay, astronomi ve görev tarihi"
q54171,hist_medicine,NIH / NLM,https://www.nih.gov/,İnsan biyolojisi ve tıp tarihi
q54172,art_mythology,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54173,art_mythology,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54174,art_mythology,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54175,art_mythology,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54176,art_mythology,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54177,art_mythology,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54178,art_mythology,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54179,art_britannica,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54180,art_japan,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54181,art_japan,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54182,lit_britannica,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54183,lit_publisher,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54184,lit_britannica,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54185,lit_britannica,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54186,lit_britannica,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54187,lit_britannica,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54188,lit_britannica,"Britannica / ilgili müze, yayıncı veya eser kaydı",https://www.britannica.com/,Sanat ve edebiyat
q54189,sci_smithsonian,Smithsonian Institution,https://www.si.edu/,"Doğa tarihi, kültür ve tarih"
q54190,sci_birds,Britannica / ilgili bilim kurumu,https://www.britannica.com/science,Bilimsel genel bilgi
q54191,sci_nature,Britannica / ilgili bilim kurumu,https://www.britannica.com/science,Bilimsel genel bilgi
q54192,sci_smithsonian,Smithsonian Institution,https://www.si.edu/,"Doğa tarihi, kültür ve tarih"
q54193,sci_nature,Britannica / ilgili bilim kurumu,https://www.britannica.com/science,Bilimsel genel bilgi
q54194,sci_smithsonian,Smithsonian Institution,https://www.si.edu/,"Doğa tarihi, kültür ve tarih"
q54195,sci_smithsonian,Smithsonian Institution,https://www.si.edu/,"Doğa tarihi, kültür ve tarih"
q54196,sci_nature,Britannica / ilgili bilim kurumu,https://www.britannica.com/science,Bilimsel genel bilgi
q54197,sci_kew,"Royal Botanic Gardens, Kew",https://www.kew.org/,Bitki bilimi
q54198,sci_nasa,NASA,https://science.nasa.gov/,"Uzay, astronomi ve görev tarihi"
q54199,sci_nasa,NASA,https://science.nasa.gov/,"Uzay, astronomi ve görev tarihi"
q54200,sci_nasa,NASA,https://science.nasa.gov/,"Uzay, astronomi ve görev tarihi"
q54201,sci_nasa,NASA,https://science.nasa.gov/,"Uzay, astronomi ve görev tarihi"
q54202,sci_usgs,USGS,https://www.usgs.gov/,"Jeoloji, yanardağ ve doğal oluşumlar"
q54203,sci_nih,NIH / NLM,https://www.nih.gov/,İnsan biyolojisi ve tıp tarihi
q54204,sci_nih,NIH / NLM,https://www.nih.gov/,İnsan biyolojisi ve tıp tarihi
q54205,sport_uefa,UEFA,https://www.uefa.com/,Avrupa futbolu
q54206,sport_uefa,UEFA,https://www.uefa.com/,Avrupa futbolu
q54207,sport_fifa,FIFA,https://www.fifa.com/,Futbol tarihi ve turnuvalar
q54208,sport_fifa,FIFA,https://www.fifa.com/,Futbol tarihi ve turnuvalar
q54209,sport_turkey,İlgili uluslararası spor federasyonu,https://www.olympics.com/,Spor kuralı ve tarih kaydı
q54210,sport_turkey,İlgili uluslararası spor federasyonu,https://www.olympics.com/,Spor kuralı ve tarih kaydı
q54211,sport_unesco,UNESCO,https://www.unesco.org/,"Kültürel miras, tarih ve gelenek"
q54212,sport_turkey,İlgili uluslararası spor federasyonu,https://www.olympics.com/,Spor kuralı ve tarih kaydı
q54213,sport_turkey,İlgili uluslararası spor federasyonu,https://www.olympics.com/,Spor kuralı ve tarih kaydı
q54214,sport_nba_rules,NBA,https://www.nba.com/,Basketbol kuralları ve tarihi
q54215,sport_fifa,FIFA,https://www.fifa.com/,Futbol tarihi ve turnuvalar
q54216,sport_uefa,UEFA,https://www.uefa.com/,Avrupa futbolu
q54217,sport_itf,International Tennis Federation,https://www.itftennis.com/,Tenis kuralları ve tarihi
q54218,sport_nba_rules,NBA,https://www.nba.com/,Basketbol kuralları ve tarihi
q54219,sport_fivb,FIVB,https://www.fivb.com/,Voleybol kuralları
q54220,sport_fide,FIDE,https://www.fide.com/,Satranç kuralları
q54221,geo_worldfactbook,CIA World Factbook,https://www.cia.gov/the-world-factbook/,Ülke ve sınır bilgileri
q54222,geo_worldfactbook,CIA World Factbook,https://www.cia.gov/the-world-factbook/,Ülke ve sınır bilgileri
q54223,geo_britannica,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
q54224,geo_britannica,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
q54225,geo_worldfactbook,CIA World Factbook,https://www.cia.gov/the-world-factbook/,Ülke ve sınır bilgileri
q54226,geo_britannica,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
q54227,geo_worldfactbook,CIA World Factbook,https://www.cia.gov/the-world-factbook/,Ülke ve sınır bilgileri
q54228,geo_statistics,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
q54229,geo_finland,Encyclopaedia Britannica / ilgili resmî coğrafya kurumu,https://www.britannica.com/,Coğrafya ve yer bilgisi
