id,decision,score,category,family,question,correct_answer,reasons
q018,KEEP,8.0,Coğrafya,geo,Tamamı Türkiye sınırları içinde bulunan deniz hangisidir?,Marmara Denizi,
q021,KEEP,8.0,Eğlence,entertainment,Friends dizisindeki ünlü kahve dükkânının adı nedir?,Central Perk,
q041,KEEP,8.0,Tarih,history,İstanbul hangi yılda Osmanlı tarafından fethedildi?,1453,
q086,KEEP,8.0,Bilim & Doğa,science,“Kızıl Gezegen” olarak bilinen gezegen hangisidir?,Mars,
q116,KEEP,8.0,Spor,sport,Modern Olimpiyat Oyunlarının tarihsel kökeni hangi ülkeye dayanır?,Yunanistan,
q1092,KEEP,8.0,Tarih,history,Keops Piramidi'nin yaklaşık olarak hangi tarihte tamamlandığı kabul edilir?,MÖ 2560 dolayları,
q1153,KEEP,8.0,Tarih,history,Jül Sezar MÖ 44'te hangi şehirde öldürüldü?,Roma,
q2920,KEEP,8.0,Spor,sport,1936 Yaz Olimpiyatları hangi şehirde düzenlendi?,Berlin,
q064,KEEP,7.5,Sanat & Edebiyat,art,Küçük Prens’in yazarı kimdir?,Antoine de Saint-Exupéry,
q070,KEEP,7.5,Sanat & Edebiyat,art,Suç ve Ceza romanının yazarı kimdir?,Dostoyevski,
q073,KEEP,7.5,Sanat & Edebiyat,art,İnce Memed romanının yazarı kimdir?,Yaşar Kemal,
q076,KEEP,7.5,Sanat & Edebiyat,art,Hababam Sınıfı’nın yazarı kimdir?,Rıfat Ilgaz,
q079,KEEP,7.5,Sanat & Edebiyat,art,Madame Bovary romanının yazarı kimdir?,Gustave Flaubert,
q1582,KEEP,7.5,Sanat & Edebiyat,art,Dante'nin İlahi Komedya adlı eserini tamamladığı kabul edilen yıl hangisidir?,1321,
q1813,KEEP,7.5,Sanat & Edebiyat,art,Gülün Adı romanının yazarı kimdir?,Umberto Eco,
q6956,KEEP,7.5,Spor,sport,Rio de Janeiro şehrinde ve Brezilya ülkesinde düzenlenen Yaz Olimpiyatları hangisidir?,2016 Yaz Olimpiyatları,
q6968,KEEP,7.5,Spor,sport,Atina şehrinde ve Yunanistan ülkesinde düzenlenen Yaz Olimpiyatları hangisidir?,1896 Yaz Olimpiyatları,
q6980,KEEP,7.5,Spor,sport,Stockholm şehrinde ve İsveç ülkesinde düzenlenen Yaz Olimpiyatları hangisidir?,1912 Yaz Olimpiyatları,
q6992,KEEP,7.5,Spor,sport,Tokyo şehrinde ve Japonya ülkesinde düzenlenen Yaz Olimpiyatları hangisidir?,1964 Yaz Olimpiyatları,
q7004,KEEP,7.5,Spor,sport,Anvers şehrinde ve Belçika ülkesinde düzenlenen Yaz Olimpiyatları hangisidir?,1920 Yaz Olimpiyatları,
q7016,KEEP,7.5,Spor,sport,Londra şehrinde ve Birleşik Krallık ülkesinde düzenlenen Yaz Olimpiyatları hangisidir?,1908 Yaz Olimpiyatları,
q7028,KEEP,7.5,Spor,sport,Meksiko şehrinde ve Meksika ülkesinde düzenlenen Yaz Olimpiyatları hangisidir?,1968 Yaz Olimpiyatları,
q7052,KEEP,7.5,Spor,sport,Münih şehrinde ve Batı Almanya ülkesinde düzenlenen Yaz Olimpiyatları hangisidir?,1972 Yaz Olimpiyatları,
q024,KEEP,7.0,Eğlence,entertainment,Yüzüklerin Efendisi’nde yok edilmesi gereken nesne hangisidir?,Tek Yüzük,
q031,KEEP,7.0,Eğlence,entertainment,Frozen filmindeki iki kız kardeş kimdir?,Anna ve Elsa,
q033,KEEP,7.0,Eğlence,entertainment,Superman’in doğduğu gezegen hangisidir?,Krypton,
q035,KEEP,7.0,Eğlence,entertainment,Breaking Bad dizisinin ana karakteri kimdir?,Walter White,
q037,KEEP,7.0,Eğlence,entertainment,Minyonların en çok hizmet ettiği karakter kimdir?,Gru,
q042,KEEP,7.0,Tarih,history,Türkiye Cumhuriyeti hangi yılda ilan edildi?,1923,
q053,KEEP,7.0,Tarih,history,Osmanlı Devleti’nin kurucusu kimdir?,Osman Gazi,
q083,KEEP,7.0,Bilim & Doğa,science,Bitkilerin ışık enerjisini kullanarak besin üretmesine ne denir?,Fotosentez,
q117,KEEP,7.0,Spor,sport,Buz hokeyinde kullanılan disk biçimli oyun aracının adı nedir?,Pak,
q605,KEEP,7.0,Eğlence,entertainment,Francis Ford Coppola'nın Baba filmi hangi yılda gösterime girdi?,1972,
q994,KEEP,7.0,Eğlence,entertainment,Nintendo'nun Super Mario Bros. oyunu ilk kez hangi yılda yayımlandı?,1985,
q3955,KEEP,7.0,Spor,sport,1896 Yaz Olimpiyat Oyunları’nın ana ev sahibi şehri hangisidir?,Atina,
