id,status,categoryIndex,difficulty,family,reason,question,correctAnswer
q3001,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Dünyanın en derin gölü hangisidir?,Baykal Gölü
q3002,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,"Büyük Set Resifi, Avustralya’nın hangi eyaletinin açıklarında uzanır?",Queensland
q3003,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Malakka Boğazı hangi iki kara parçası arasında yer alır?,Malay Yarımadası ile Sumatra
q3004,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Titicaca Gölü hangi iki ülkenin sınırında bulunur?,Peru ile Bolivya
q3005,REJECT,0,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Tuna Nehri hangi denize dökülür?,Karadeniz
q3006,REJECT,0,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Atacama Çölü ağırlıklı olarak hangi ülkededir?,Şili
q3007,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Elbruz Dağı hangi sıradağ sistemindedir?,Kafkas Dağları
q3008,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Mekong Deltası hangi ülkede denize ulaşır?,Vietnam
q3009,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Okavango Deltası hangi ülkededir?,Botsvana
q3010,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Salar de Uyuni tuz düzlüğü hangi ülkededir?,Bolivya
q3011,REJECT,0,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Bering Boğazı hangi iki kıtayı birbirinden ayırır?,Asya ile Kuzey Amerika
q3012,REJECT,0,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Aşağıdaki ülkelerden hangisinin Tanganika Gölü’ne kıyısı yoktur?,Kenya
q3013,REJECT,0,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Patagonya bölgesi hangi iki ülke arasında paylaşılır?,Arjantin ile Şili
q3014,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Victoria Şelaleleri hangi nehir üzerindedir?,Zambezi
q3015,REJECT,0,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,İstanbul Boğazı hangi iki denizi birbirine bağlar?,Karadeniz ile Marmara Denizi
q3016,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Geleneksel coğrafi kabule göre Avrupa ile Asya arasındaki sınırın bir bölümünü hangi dağlar oluşturur?,Ural Dağları
q3017,REJECT,0,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Aconcagua Dağı hangi sıradağlardadır?,And Dağları
q3018,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Ren Nehri ağırlıklı olarak hangi ülkedeki deltadan Kuzey Denizi’ne ulaşır?,Hollanda
q3019,REJECT,0,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Mozambik Kanalı hangi ada ile Afrika ana karası arasındadır?,Madagaskar
q3020,REJECT,0,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Gobi Çölü ağırlıklı olarak hangi iki ülkeye yayılır?,Moğolistan ile Çin
q3021,REJECT,1,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Baba (The Godfather) filminin yönetmeni kimdir?,Francis Ford Coppola
q3022,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Ruhların Kaçışı (Spirited Away) filminin yönetmeni kimdir?,Hayao Miyazaki
q3023,REJECT,1,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Parazit (Parasite) filminin yönetmeni kimdir?,Bong Joon Ho
q3024,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Breaking Bad dizisinin yaratıcısı kimdir?,Vince Gilligan
q3025,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,The Wire dizisinin ana hikâyesi hangi ABD şehrinde geçer?,Baltimore
q3026,REJECT,1,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,The Office dizisinin ABD uyarlamasında çalışanların bağlı olduğu kâğıt şirketinin adı nedir?,Dunder Mifflin
q3027,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Interstellar filminin müziklerini kim bestelemiştir?,Hans Zimmer
q3028,REJECT,1,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Ucuz Roman (Pulp Fiction) filminin yönetmeni kimdir?,Quentin Tarantino
q3029,REJECT,1,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Yüzüklerin Efendisi sinema üçlemesini kim yönetmiştir?,Peter Jackson
q3030,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Stranger Things dizisini yaratan kardeşler kimlerdir?,Duffer Kardeşler
q3031,REJECT,1,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Mad Men dizisinin merkezindeki reklamcının adı nedir?,Don Draper
q3032,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Better Call Saul dizisindeki Saul Goodman’ın gerçek adı nedir?,Jimmy McGill
q3033,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Casablanca filminin yönetmeni kimdir?,Michael Curtiz
q3034,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Guguk Kuşu (One Flew Over the Cuckoo’s Nest) filminin yönetmeni kimdir?,Miloš Forman
q3035,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Amélie filminin yönetmeni kimdir?,Jean-Pierre Jeunet
q3036,REJECT,1,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Büyük Budapeşte Oteli filminin yönetmeni kimdir?,Wes Anderson
q3037,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Geliş (Arrival) filminin yönetmeni kimdir?,Denis Villeneuve
q3038,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Cennet Sineması (Cinema Paradiso) filminin yönetmeni kimdir?,Giuseppe Tornatore
q3039,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Blade Runner 2049 filminin yönetmeni kimdir?,Denis Villeneuve
q3040,REJECT,1,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Truman Show filminin yönetmeni kimdir?,Peter Weir
q3041,REJECT,2,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Magna Carta 1215 yılında hangi yerde mühürlenmiştir?,Runnymede
q3042,REJECT,2,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Milano Fermanı hangi yılda yayımlanmıştır?,313
q3043,REJECT,2,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Birinci İznik Konsili hangi yılda toplanmıştır?,325
q3044,REJECT,2,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Hastings Muharebesi hangi yılda yapılmıştır?,1066
q3045,REJECT,2,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,İstanbul’un Osmanlılar tarafından fethedildiği yıl hangisidir?,1453
q3046,REJECT,2,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Tordesillas Antlaşması ağırlıklı olarak hangi iki devletin denizaşırı nüfuz alanlarını ayırdı?,İspanya ile Portekiz
q3047,REJECT,2,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Vestfalya Barışı hangi büyük savaşı sona erdirmiştir?,Otuz Yıl Savaşı
q3048,REJECT,2,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,1688 Şanlı Devrimi hangi ülkede gerçekleşmiştir?,İngiltere
q3049,REJECT,2,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Haiti bağımsızlığını hangi yılda ilan etmiştir?,1804
q3050,REJECT,2,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Viyana Kongresi esas olarak hangi savaş döneminin ardından Avrupa düzenini yeniden kurmak için toplandı?,Napolyon Savaşları
q3051,REJECT,2,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Meiji Restorasyonu hangi ülkede gerçekleşmiştir?,Japonya
q3052,REJECT,2,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Süveyş Kanalı hangi yılda açılmıştır?,1869
q3053,REJECT,2,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,1884-1885 Berlin Konferansı en çok hangi kıtanın sömürgeleştirilmesiyle ilişkilidir?,Afrika
q3054,REJECT,2,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,1908 Jön Türk Devrimi’nin ardından Osmanlı Devleti’nde hangi düzen yeniden yürürlüğe girdi?,Meşrutiyet
q3055,REJECT,2,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Lozan Barış Antlaşması hangi yılda imzalanmıştır?,1923
q3056,REJECT,2,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,D-Day çıkarmalarının ana bölgesi neresidir?,Normandiya
q3057,REJECT,2,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,1955 Bandung Konferansı hangi ülkede düzenlenmiştir?,Endonezya
q3058,REJECT,2,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Berlin Duvarı hangi yılda yıkılmıştır?,1989
q3059,REJECT,2,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Jül Sezar hangi şehirde öldürülmüştür?,Roma
q3060,REJECT,2,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Rosetta Taşı hangi yılda bulunmuştur?,1799
q3061,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Jonathan Swift’in Gulliver’in Gezileri adlı eseri ilk kez hangi yıl yayımlanmıştır?,1726
q3062,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Las Meninas tablosunun ressamı kimdir?,Diego Velázquez
q3063,REJECT,3,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Arnolfini Portresi adlı tablonun ressamı kimdir?,Jan van Eyck
