BİLGİ ROTASI – KATEGORİYE GİYDİRİLMİŞ MATEMATİK SORULARI
======================================================================================

Toplam soru bankası: 53063
Matematik problemi olarak elenecek: 16243

KATEGORİLERE GÖRE
--------------------------------------------------------------------------------------
Eğlence: 3993
Spor: 3924
Bilim & Doğa: 3391
Coğrafya: 2851
Sanat & Edebiyat: 1822
Tarih: 262

ELENECEK SORULAR
--------------------------------------------------------------------------------------
ID	KATEGORİ	TESPİT	SORU
q114	Spor	işlem işareti	Teniste 40-40 skoruna ne ad verilir?
q1798	Sanat & Edebiyat	işlem işareti	1954-1955 ile tarihlendirilen eser hangisidir?
q1824	Sanat & Edebiyat	işlem işareti	15-16. yüzyıl ile tarihlendirilen eser hangisidir?
q1833	Sanat & Edebiyat	işlem işareti	1072-1074 ile tarihlendirilen eser hangisidir?
q1841	Sanat & Edebiyat	işlem işareti	1069-1070 ile tarihlendirilen eser hangisidir?
q1859	Sanat & Edebiyat	işlem işareti	1971-1972 ile tarihlendirilen eser hangisidir?
q1864	Sanat & Edebiyat	işlem işareti	Leonardo da Vinci tarafından 1503-1506 dolayları döneminde oluşturulan eser hangisidir?
q1867	Sanat & Edebiyat	işlem işareti	1503-1506 dolayları ile tarihlendirilen eser hangisidir?
q1902	Sanat & Edebiyat	işlem işareti	1509-1511 ile tarihlendirilen eser hangisidir?
q1988	Sanat & Edebiyat	işlem işareti	1907-1908 ile tarihlendirilen eser hangisidir?
q2729	Spor	işlem işareti	Takıma göre 1-4 oyuncu düzeni hangi sporla ilişkilidir?
q3053	Tarih	işlem işareti	1884-1885 Berlin Konferansı en çok hangi kıtanın sömürgeleştirilmesiyle ilişkilidir?
q4181	Coğrafya	işlem işareti	Bolivya için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4182	Coğrafya	işlem işareti	Bosna-Hersek için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4183	Coğrafya	işlem işareti	Botsvana için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4184	Coğrafya	işlem işareti	Brezilya için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4185	Coğrafya	işlem işareti	Brunei için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4186	Coğrafya	işlem işareti	Bulgaristan için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4187	Coğrafya	işlem işareti	Burkina Faso için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4188	Coğrafya	işlem işareti	Burundi için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4189	Coğrafya	işlem işareti	Butan için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4190	Coğrafya	işlem işareti	Cabo Verde için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4191	Coğrafya	işlem işareti	Cezayir için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4192	Coğrafya	işlem işareti	Cibuti için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4193	Coğrafya	işlem işareti	Côte d’Ivoire için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4194	Coğrafya	işlem işareti	Danimarka için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4195	Coğrafya	işlem işareti	Dominik Cumhuriyeti için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4196	Coğrafya	işlem işareti	Dominika için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
