id,categoryIndex,category,recentYear,sourceGroup
q56121,0,Coğrafya,2024,recent-geography
q56122,1,Eğlence,2024,recent-series
q56123,2,Tarih,2022,recent-history
q56124,3,Sanat & Edebiyat,2023,recent-literature
q56125,4,Bilim & Doğa,2025,space-missions
q56126,5,Spor,2022,recent-sports
q56127,0,Coğrafya,2021,recent-geography
q56128,1,Eğlence,2020,recent-games
q56129,2,Tarih,2020,recent-history
q56130,3,Sanat & Edebiyat,2025,grammy-general-field
q56131,4,Bilim & Doğa,2024,space-missions
q56132,5,Spor,2021,recent-sports
q56133,0,Coğrafya,2024,recent-geography
q56134,1,Eğlence,2020,oscars-film
q56135,2,Tarih,2023,recent-history
q56136,3,Sanat & Edebiyat,2021,recent-literature
q56137,4,Bilim & Doğa,2024,nobel-science
q56138,5,Spor,2021,recent-sports
q56139,0,Coğrafya,2024,recent-geography
q56140,1,Eğlence,2022,recent-games
q56141,2,Tarih,2021,recent-history
q56142,3,Sanat & Edebiyat,2022,recent-literature
q56143,4,Bilim & Doğa,2020,science-milestones
q56144,5,Spor,2023,recent-sports
q56145,0,Coğrafya,2022,recent-geography
q56146,1,Eğlence,2022,recent-series
q56147,2,Tarih,2023,recent-history
q56148,3,Sanat & Edebiyat,2022,recent-literature
q56149,4,Bilim & Doğa,2024,science-milestones
q56150,5,Spor,2024,recent-sports
q56151,0,Coğrafya,2024,recent-geography
q56152,1,Eğlence,2023,recent-series
q56153,2,Tarih,2022,recent-history
q56154,3,Sanat & Edebiyat,2023,grammy-general-field
q56155,4,Bilim & Doğa,2021,nobel-science
q56156,5,Spor,2022,recent-sports
q56157,0,Coğrafya,2024,recent-geography
q56158,1,Eğlence,2023,oscars-film
q56159,2,Tarih,2020,recent-history
q56160,3,Sanat & Edebiyat,2020,recent-literature
q56161,4,Bilim & Doğa,2020,nobel-science
q56162,5,Spor,2025,recent-sports
q56163,0,Coğrafya,2024,recent-geography
q56164,1,Eğlence,2024,recent-games
q56165,2,Tarih,2023,recent-history
q56166,3,Sanat & Edebiyat,2023,recent-literature
q56167,4,Bilim & Doğa,2024,nobel-science
q56168,5,Spor,2025,recent-sports
q56169,0,Coğrafya,2021,recent-geography
q56170,1,Eğlence,2024,recent-series
q56171,2,Tarih,2024,recent-history
q56172,3,Sanat & Edebiyat,2024,grammy-general-field
q56173,4,Bilim & Doğa,2024,space-missions
q56174,5,Spor,2024,recent-sports
q56175,0,Coğrafya,2023,recent-geography
q56176,1,Eğlence,2024,oscars-film
q56177,2,Tarih,2020,recent-history
q56178,3,Sanat & Edebiyat,2025,grammy-general-field
q56179,4,Bilim & Doğa,2024,space-missions
q56180,5,Spor,2024,recent-sports
q56181,0,Coğrafya,2024,recent-geography
q56182,1,Eğlence,2020,recent-games
q56183,2,Tarih,2021,recent-history
q56184,3,Sanat & Edebiyat,2025,grammy-general-field
q56185,4,Bilim & Doğa,2025,space-missions
q56186,5,Spor,2023,recent-sports
q56187,0,Coğrafya,2025,recent-geography
q56188,1,Eğlence,2020,recent-series
q56189,2,Tarih,2024,recent-history
q56190,3,Sanat & Edebiyat,2023,grammy-general-field
q56191,4,Bilim & Doğa,2021,nobel-science
q56192,5,Spor,2020,recent-sports
q56193,0,Coğrafya,2024,recent-geography
q56194,1,Eğlence,2020,oscars-film
q56195,2,Tarih,2022,recent-history
q56196,3,Sanat & Edebiyat,2025,recent-literature
q56197,4,Bilim & Doğa,2023,space-missions
q56198,5,Spor,2024,recent-sports
q56199,0,Coğrafya,2022,recent-geography
q56200,1,Eğlence,2024,oscars-film
q56201,2,Tarih,2020,recent-history
q56202,3,Sanat & Edebiyat,2025,recent-literature
q56203,4,Bilim & Doğa,2022,nobel-science
q56204,5,Spor,2023,recent-sports
q56205,0,Coğrafya,2023,recent-geography
q56206,1,Eğlence,2021,recent-games
q56207,2,Tarih,2022,recent-history
q56208,3,Sanat & Edebiyat,2026,grammy-general-field
q56209,4,Bilim & Doğa,2023,space-missions
q56210,5,Spor,2022,recent-sports
q56211,0,Coğrafya,2021,recent-geography
q56212,1,Eğlence,2023,recent-games
q56213,2,Tarih,2025,recent-history
q56214,3,Sanat & Edebiyat,2020,recent-literature
q56215,4,Bilim & Doğa,2022,nobel-science
q56216,5,Spor,2022,recent-sports
q56217,0,Coğrafya,2023,recent-geography
q56218,1,Eğlence,2021,recent-series
q56219,2,Tarih,2023,recent-history
q56220,3,Sanat & Edebiyat,2024,recent-literature
q56221,4,Bilim & Doğa,2020,science-milestones
q56222,5,Spor,2020,recent-sports
q56223,0,Coğrafya,2021,recent-geography
q56224,1,Eğlence,2021,recent-series
q56225,2,Tarih,2021,recent-history
q56226,3,Sanat & Edebiyat,2020,recent-literature
q56227,4,Bilim & Doğa,2021,nobel-science
q56228,5,Spor,2024,recent-sports
q56229,0,Coğrafya,2024,recent-geography
q56230,1,Eğlence,2023,film-cast
q56231,2,Tarih,2022,recent-history
q56232,3,Sanat & Edebiyat,2026,grammy-general-field
q56233,4,Bilim & Doğa,2021,nobel-science
q56234,5,Spor,2024,recent-sports
q56235,0,Coğrafya,2025,recent-geography
q56236,1,Eğlence,2023,recent-games
q56237,2,Tarih,2024,recent-history
q56238,3,Sanat & Edebiyat,2023,recent-literature
q56239,4,Bilim & Doğa,2020,nobel-science
q56240,5,Spor,2025,recent-sports
q56241,0,Coğrafya,2023,recent-geography
q56242,1,Eğlence,2022,recent-series
q56243,2,Tarih,2024,recent-history
q56244,3,Sanat & Edebiyat,2022,recent-literature
q56245,4,Bilim & Doğa,2023,space-missions
q56246,5,Spor,2025,recent-sports
q56247,0,Coğrafya,2026,recent-geography
q56248,1,Eğlence,2021,recent-games
q56249,2,Tarih,2024,recent-history
q56250,3,Sanat & Edebiyat,2023,recent-literature
q56251,4,Bilim & Doğa,2020,space-missions
q56252,5,Spor,2024,recent-sports
q56253,0,Coğrafya,2023,recent-geography
q56254,1,Eğlence,2023,film-cast
q56255,2,Tarih,2024,recent-history
q56256,3,Sanat & Edebiyat,2026,grammy-general-field
q56257,4,Bilim & Doğa,2022,space-missions
q56258,5,Spor,2025,recent-sports
q56259,0,Coğrafya,2020,recent-geography
q56260,1,Eğlence,2024,recent-games
q56261,2,Tarih,2021,recent-history
q56262,3,Sanat & Edebiyat,2024,recent-literature
q56263,4,Bilim & Doğa,2022,nobel-science
q56264,5,Spor,2025,recent-sports
q56265,0,Coğrafya,2023,recent-geography
q56266,1,Eğlence,2023,recent-series
q56267,2,Tarih,2020,recent-history
q56268,3,Sanat & Edebiyat,2025,grammy-general-field
q56269,4,Bilim & Doğa,2021,nobel-science
q56270,5,Spor,2022,recent-sports
q56271,0,Coğrafya,2025,recent-geography
q56272,1,Eğlence,2025,film-cast
q56273,2,Tarih,2021,recent-history
q56274,3,Sanat & Edebiyat,2021,recent-literature
q56275,4,Bilim & Doğa,2021,nobel-science
q56276,5,Spor,2021,recent-sports
q56277,0,Coğrafya,2022,recent-geography
q56278,1,Eğlence,2020,recent-games
q56279,2,Tarih,2023,recent-history
q56280,3,Sanat & Edebiyat,2023,grammy-general-field
q56281,4,Bilim & Doğa,2022,nobel-science
q56282,5,Spor,2024,recent-sports
q56283,0,Coğrafya,2020,recent-geography
q56284,1,Eğlence,2022,oscars-film
q56285,2,Tarih,2022,recent-history
q56286,3,Sanat & Edebiyat,2022,grammy-general-field
