Soru ID;Eski soru;Yeni soru;Doğru cevap;İnceleme notu
q1661;Candide için doğru tarih veya dönem eşleştirmesi hangisidir?;Voltaire'in Candide adlı eseri ilk kez hangi yılda yayımlandı?;1759;"Belirsiz eşleştirme kalıbı kaldırıldı; eser, yazar ve yayımlanma yılı açıkça soruldu."
q1146;Çin’in Qin Hanedanı altında birleşmesi için doğru yer eşleştirmesi hangisidir?;Çin'i MÖ 221'de ilk kez tek bir imparatorluk altında birleştiren hükümdar kimdir?;Qin Shi Huang;Anlamsız yer eşleştirmesi yerine olayın baş aktörü soruldu.
q1676;Gurur ve Önyargı hangi tarih veya dönemde ortaya çıkmıştır?;Jane Austen'ın Gurur ve Önyargı romanı ilk kez hangi yılda yayımlandı?;1813;"“Ortaya çıkmıştır” ifadesi kaldırıldı; ilk yayımlanma yılı açıkça soruldu."
q1106;Hammurabi Kanunları’nın hazırlanması için doğru kişi, taraf veya gelişme eşleştirmesi hangisidir?;Hammurabi Kanunları hangi eski uygarlığa aittir?;Babil;Önceki düzeltmede “Hammurabi” hem soru kökünde hem cevapta yer alıyordu. Soru, kanunların ait olduğu uygarlığı soracak şekilde tamamen değiştirildi.
q1477;İtalya Krallığı’nın kurulması için doğru kişi, taraf veya gelişme eşleştirmesi hangisidir?;1861'de kurulan İtalya Krallığı'nın ilk kralı kimdir?;II. Vittorio Emanuele;Belirsiz eşleştirme yerine tarihsel görev açıkça soruldu.
q1293;Gutenberg İncili’nin basılması için doğru yer eşleştirmesi hangisidir?;Gutenberg İncili 15. yüzyılda hangi Alman şehrinde basıldı?;Mainz;Yer eşleştirme kalıbı doğal bir şehir sorusuna dönüştürüldü.
q1733;Karamazov Kardeşler için doğru tür ya da sanat biçimi eşleştirmesi hangisidir?;Dostoyevski'nin Karamazov Kardeşler adlı eseri hangi türdedir?;Roman;"Yapay eşleştirme ifadesi kaldırıldı; seçenekler aynı düzeyde ve kısa hâle getirildi."
q949;Peaky Blinders ilk kez hangi yıl izleyici, oyuncu veya dinleyiciyle buluştu?;Peaky Blinders dizisi ilk kez hangi yılda yayımlandı?;2013;“İzleyici, oyuncu veya dinleyici” gibi yapay ifade kaldırıldı.
q1612;Hamlet için doğru tür ya da sanat biçimi eşleştirmesi hangisidir?;Shakespeare'in Hamlet adlı eseri hangi türde bir tiyatro oyunudur?;Trajedi;Tür sorusu doğrudan ve doğal Türkçeyle yeniden yazıldı.
q1660;1759 ile tarihlendirilen eser hangisidir?;Voltaire'in 1759'da yayımlanan hicivli felsefi eserinin adı nedir?;Candide;Bağlamsız tarih sorusuna yazar ve eser türü bilgisi eklendi.
q2707;Atlı polo için doğru ekipman veya oyun aracı eşleştirmesi hangisidir?;Atlı polo oynarken topa vurmak için hangi araç kullanılır?;Uzun saplı tokmak;Ekipman listesi yerine sporun ayırt edici aracı doğrudan soruldu.
q856;Parazit için doğru yayın yılı eşleştirmesi hangisidir?;Bong Joon-ho'nun Parazit filmi hangi yılda gösterime girdi?;2019;Eser türü ve yönetmen belirtilerek yayın yılı sorusu netleştirildi.
q1259;Kösedağ Savaşı için doğru yer eşleştirmesi hangisidir?;1243 Kösedağ Savaşı, Anadolu Selçuklu Devleti ile hangi güç arasında yapıldı?;Moğollar;Geniş ve belirsiz yer seçeneği yerine savaşın tarafları soruldu.
q2327;Akyuvar için doğru temel görev eşleştirmesi hangisidir?;Akyuvarların temel görevi nedir?;Vücudu enfeksiyonlara karşı savunmak;Yapay görev eşleştirmesi doğal bir biyoloji sorusuna çevrildi.
q1782;Küçük Prens için doğru tarih veya dönem eşleştirmesi hangisidir?;Antoine de Saint-Exupéry'nin Küçük Prens adlı eseri ilk kez hangi yılda yayımlandı?;1943;Yazar ve yayımlanma biçimi belirtilerek tarih sorusu netleştirildi.
q780;Harry Potter karakteri hangi filmde yer alır?;Harry Potter karakterini sinema filmlerinde hangi oyuncu canlandırmıştır?;Daniel Radcliffe;Önceki düzeltme hâlâ film adını soruyor ve seçeneklerde birden fazla Harry Potter filmi bulunduruyordu. Soru, karakteri canlandıran oyuncuyu soracak şekilde tamamen değiştirildi.
q1809;Yüzyıllık Yalnızlık hangi tür ya da sanat biçiminde değerlendirilir?;Gabriel García Márquez'in Yüzyıllık Yalnızlık romanı hangi edebî akımla özdeşleşmiştir?;Büyülü gerçekçilik;Tür seçenekleri birbiriyle uyumlu edebî akımlara dönüştürüldü.
q1813;Gülün Adı için doğru yaratıcı eşleştirmesi hangisidir?;Gülün Adı romanının yazarı kimdir?;Umberto Eco;“Yaratıcı eşleştirmesi” ifadesi kaldırılıp doğrudan yazar soruldu.
q1877;Son Akşam Yemeği için doğru tarih veya dönem eşleştirmesi hangisidir?;Leonardo da Vinci, Son Akşam Yemeği duvar resmini yaklaşık hangi yıllar arasında yaptı?;1495-1498;Belirsiz dönem ifadesi somut bir tarih aralığına dönüştürüldü.
q1819;Gülün Adı için doğru tür ya da sanat biçimi eşleştirmesi hangisidir?;Umberto Eco'nun Gülün Adı eseri en çok hangi türde değerlendirilir?;Tarihî polisiye roman;Tür seçenekleri eş düzeyde ve anlaşılır hâle getirildi.
q795;Kara Şövalye için doğru yayın yılı eşleştirmesi hangisidir?;Christopher Nolan'ın Kara Şövalye filmi hangi yılda gösterime girdi?;2008;Film ve yönetmen belirtilerek yayın yılı sorusu doğal hâle getirildi.
